age_group,coaster,park,city,state,type,design,year_opened,top_speed,max_height,drop,length,duration,inversions,num_of_inversions
2:recent,Apollos Chariot,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Sit Down,1999,73,170,210,4882,135,N,0
2:recent,Dueling Dragons,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Inverted,1999,60,125,115,3200,145,Y,5
2:recent,Dueling Dragons,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Inverted,1999,55,125,95,3200,145,Y,5
2:recent,Face/Off,Paramounts Kings Island,Kings Mills,Ohio,Steel,Inverted,1999,50,161,138,1014,90,Y,3
2:recent,Georgia Scorcher,Six Flags Over Georgia,Austell,Georgia,Steel,Stand Up,1999,54,107,101,3000,84,Y,2
2:recent,Incredible Hulk,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Sit Down,1999,67,110,105,3700,135,Y,7
2:recent,Leap The Dips,Lakemont Park,Altoona,Pennsylvania,Wooden,Sit Down,1999,NA,41,9,1452,60,N,0
2:recent,Medusa,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1999,61,142,132,3985,140,Y,7
2:recent,Raging Bull,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1999,73,202,208,5057,150,N,0
2:recent,Silver Comet,Martins Fantasy Island,Grand Island,New York,Wooden,Sit Down,1999,50,NA,82,2800,105,N,0
2:recent,Steel Eel,SeaWorld Of Texas,San Antonio,Texas,Steel,Sit Down,1999,65,150,150,3700,100,N,0
2:recent,Superman - Ride Of Steel,Six Flags Darien Lake,Darien Center,New York,Steel,Sit Down,1999,73,208,205,5400,122,N,0
2:recent,Tennessee Tornado,Dollywood,Pigeon Forge,Tennessee,Steel,Sit Down,1999,63,163,128,2682,108,Y,3
2:recent,Tremors,Silverwood Theme Park,Athol,Idaho,Wooden,Sit Down,1999,60,100,103,3000,100,N,0
2:recent,Twister,Knoebels,Elysburg,Pennsylvania,Wooden,Sit Down,1999,52,102,90,3900,130,N,0
2:recent,Two-Face: The Flip Side,Six Flags America,Upper Marlboro,Maryland,Steel,Inverted,1999,50,161,138,1014,90,Y,3
2:recent,Joker's Jinx,Six Flags America,Upper Marlboro,Maryland,Steel,Sit Down,1999,60,79,NA,2750,56,Y,4
3:newest,Batman The Ride,Six Flags Fiesta Texas,San Antonio,Texas,Steel,Wing,2015,38,120,54,1019,NA,Y,6
3:newest,Arkansas Twister,Magic Springs and Crystal Falls,Hot Springs,Arkansas,Wooden,Sit Down,2000,NA,95,92,3340,NA,N,0
3:newest,Batman Knight Flight,Six Flags Worlds of Adventure,Aurora,Ohio,Steel,Sit Down,2000,65,157,148,4210,NA,Y,5
3:newest,Boss,Six Flags St. Louis,Eureka,Missouri,Wooden,Sit Down,2000,66,122,150,5051,NA,N,0
3:newest,Boulder Dash,Lake Compounce,Bristol,Connecticut,Wooden,Sit Down,2000,60,NA,115,4725,150,N,0
3:newest,Goliath,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,2000,85,235,255,4500,180,N,0
3:newest,Hurricane,Myrtle Beach Pavilion,Myrtle Beach,South Carolina,Wooden,Sit Down,2000,55,102,100,3800,120,N,0
3:newest,Kraken,SeaWorld Orlando,Orlando,Florida,Steel,Sit Down,2000,65,149,144,4177,122,Y,7
3:newest,Medusa,Six Flags Marine World,Vallejo,California,Steel,Sit Down,2000,65,150,150,3937,195,Y,7
3:newest,Millennium Force,Cedar Point,Sandusky,Ohio,Steel,Sit Down,2000,93,310,300,6595,140,N,0
3:newest,Son Of Beast,Paramounts Kings Island,Kings Mills,Ohio,Wooden,Sit Down,2000,78,218,214,7032,140,Y,1
3:newest,Superman - Ride Of Steel,Six Flags New England,Agawam,Massachusetts,Steel,Sit Down,2000,77,208,221,5400,155,N,0
3:newest,Superman - Ride Of Steel,Six Flags America,Upper Marlboro,Maryland,Steel,Sit Down,2000,73,200,190,5350,130,N,0
3:newest,California Screamin,Disneys California Adventure,Anaheim,California,Steel,Sit Down,2001,55,NA,108,6072,156,Y,1
3:newest,Cheetah,Wild Adventures,Valdosta,Georgia,Wooden,Sit Down,2001,52,92,90,2680,NA,N,0
3:newest,Deja Vu,Six Flags Great America,Gurnee,Illinois,Steel,Inverted,2001,66,192,177,1204,92,Y,3
3:newest,Deja Vu,Six Flags Over Georgia,Austell,Georgia,Steel,Inverted,2001,66,192,177,1204,92,Y,3
3:newest,HyperSonic XLC,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,2001,80,165,133,1560,NA,N,0
3:newest,Nitro,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,2001,80,230,215,5394,140,N,0
3:newest,Phantoms Revenge,Kennywood Park,West Mifflin,Pennsylvania,Steel,Sit Down,2001,82,160,228,3200,117,N,0
3:newest,Talon,Dorney Park,Allentown,Pennsylvania,Steel,Inverted,2001,58,135,120,3110,NA,Y,4
3:newest,Titan,Six Flags Over Texas,Arlington,Texas,Steel,Sit Down,2001,85,245,255,5312,210,N,0
3:newest,Wildfire,Silver Dollar City,Branson,Missouri,Steel,Sit Down,2001,66,120,155,3073,136,Y,5
3:newest,Big Bad John,Magic Springs and Crystal Falls,Hot Springs,Arkansas,Steel,Sit Down,2002,37,32,41,2349,180,N,0
3:newest,New Mexico Rattler,Cliffs Amusement Park,Albuquerque,New Mexico,Wooden,Sit Down,2002,47,80,75,2750,75,N,0
3:newest,Ricochet,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,2002,35,52,50,1340,180,N,0
3:newest,Superman - Ultimate Flight,Six Flags Over Georgia,Austell,Georgia,Steel,Flying,2002,NA,115,100,2760,120,Y,2
3:newest,Wicked Twister,Cedar Point,Sandusky,Ohio,Steel,Inverted,2002,72,215,206,NA,NA,N,0
3:newest,X,Six Flags Magic Mountain,Valencia,California,Steel,4th Dimension,2002,76,175,215,3610,NA,Y,2
3:newest,Batman: The Ride,Six Flags New Orleans,New Orleans,Louisiana,Steel,Inverted,2003,50,105,80,2693,120,Y,5
3:newest,Rampage,VisionLand,Bessemer,Alabama,Wooden,Sit Down,2003,56,120,102,3500,NA,N,0
3:newest,Scream!,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,2003,63,150,141,3985,180,Y,7
3:newest,Steel Venom,Valleyfair!,Shakopee,Minnesota,Steel,Inverted,2003,68,185,175,630,NA,N,0
3:newest,Superman - Ultimate Flight,Six Flags Great America,Gurnee,Illinois,Steel,Flying,2003,50,115,109,2798,180,Y,2
3:newest,Superman - Ultimate Flight,Six Flags Great Adventure,Jackson,New Jersey,Steel,Flying,2003,60,115,100,2759,126,Y,2
3:newest,Top Thrill Dragster,Cedar Point,Sandusky,Ohio,Steel,Sit Down,2003,120,420,400,2800,30,N,0
3:newest,Zonga,Six Flags Marine World,Vallejo,California,Steel,Sit Down,2003,62,115,98,3675,NA,Y,4
3:newest,Dominator,Kings Dominion,Doswell,Virginia,Steel,Sit Down,2008,65,157,148,4210,126,Y,5
3:newest,Intimidator,Carowinds,Charlotte,North Carolina,Steel,Sit Down,2010,75,232,211,5316,213,N,0
3:newest,Fury 325,Carowinds,Charlotte,North Carolina,Steel,Sit Down,2015,95,325,320,6602,205,N,0
3:newest,Lightning Rod,Dollywood,Pigeon Forge,Tennessee,Wooden,Sit Down,2016,73,NA,165,3800,192,N,0
3:newest,StormChaser,Kentucky Kingdom,Louisville,Kentucky,Steel,Sit Down,2016,52,100,NA,2744,100,Y,3
3:newest,Superman: Krypton Coaster,Six Flags Fiesta Texas,San Antonio,Texas,Steel,Sit Down,2000,70,168,163,4025,155,Y,6
3:newest,Joker,Six Flags Great Adventure,Jackson,New Jersey,Steel,Wing,2016,38,120,54,1019,NA,Y,6
