season,year,month,holiday,weekday,temp,count
3,0,9,0,3,19.965,4352
3,0,9,0,4,21.531651,4795
4,0,9,0,5,20.630849,2395
4,0,9,0,6,20.513349,5423
4,0,9,0,0,21.805849,5010
4,0,9,0,1,22.510849,4630
4,0,9,0,2,21.923349,4120
4,0,9,0,3,21.845,3907
4,0,9,0,4,20.983349,4839
4,0,9,0,5,18.515849,5202
4,0,11,0,2,10.839151,4068
4,0,11,0,3,9.7425,4186
4,0,11,0,4,11.191651,3974
4,0,11,0,5,10.956651,4046
4,0,11,0,6,7.353349,3926
4,0,11,0,0,8.371651,3649
4,0,11,0,1,10.565,4035
4,0,11,0,2,11.191651,4205
4,0,11,0,3,10.8,4109
4,0,11,0,4,9.86,2933
4,0,11,1,5,7.235849,3368
4,0,11,0,6,8.763349,4067
4,0,11,0,0,12.719151,3717
4,0,11,0,1,16.91,4486
4,0,11,0,2,16.91,4195
4,0,11,0,3,13.463349,1817
4,0,11,0,4,8.058349,3053
4,0,11,0,5,4.885849,3392
4,0,11,0,6,7.470849,3663
4,0,11,0,0,13.776651,3520
4,0,11,0,1,13.0325,2765
4,0,11,0,2,11.583349,1607
4,0,11,0,3,12.719151,2566
4,0,11,1,4,9.546651,1495
4,0,11,0,5,9.625,2792
4,0,11,0,6,9.664151,3068
4,0,11,0,0,13.580849,3071
4,0,11,0,1,15.663466,3867
4,0,11,0,2,13.541651,2914
4,0,11,0,3,7.275,3613
2,1,6,0,5,22.745849,4127
2,1,6,0,6,19.416651,8120
2,1,6,0,0,20.3175,7641
2,1,6,0,1,20.0825,6998
2,1,6,0,2,17.419151,7001
2,1,6,0,3,18.045849,7055
2,1,6,0,4,20.3175,7494
2,1,6,0,5,22.510849,7736
2,1,6,0,6,25.409151,7498
2,1,6,0,0,26.153349,6598
2,1,6,0,1,25.879151,6664
2,1,6,0,2,22.706651,4972
2,1,6,0,3,22.824151,7421
2,1,6,0,4,22.471651,7363
2,1,6,0,5,22.040849,7665
2,1,6,0,6,21.688349,7702
2,1,6,0,0,19.8475,6978
2,1,6,0,1,18.711651,5099
2,1,6,0,2,24.351651,6825
2,1,6,0,3,28.7775,6211
3,1,6,0,4,29.874151,5905
3,1,6,0,5,28.5425,5823
3,1,6,0,6,26.388349,7458
3,1,6,0,0,26.936651,6891
3,1,6,0,1,25.644151,6779
3,1,6,0,2,21.649151,7442
3,1,6,0,3,24.7825,7335
3,1,6,0,4,27.210849,6879
3,1,6,0,5,31.205849,5463
3,1,6,0,6,27.955,5687
3,1,7,0,0,30.344151,5531
3,1,7,0,1,28.738349,6227
3,1,7,0,2,28.699151,6660
3,1,7,1,3,29.090849,7403
3,1,7,0,4,30.8925,6241
3,1,7,0,5,30.931651,6207
3,1,7,0,6,32.498349,4840
3,1,7,0,0,30.6575,4672
3,1,7,0,1,25.409151,6569
3,1,7,0,2,25.879151,6290
3,1,7,0,3,25.683349,7264
3,1,7,0,4,25.644151,7446
3,1,7,0,5,26.388349,7499
3,1,7,0,6,25.056651,6969
3,1,7,0,0,27.054151,6031
3,1,7,0,1,27.876651,6830
3,1,7,0,2,30.461651,6786
3,1,7,0,3,29.286651,5713
3,1,7,0,4,28.19,6591
3,1,7,0,5,23.294151,5870
3,1,7,0,6,20.004151,4459
3,1,7,0,0,23.3725,7410
3,1,7,0,1,26.858349,6966
3,1,7,0,2,27.289151,7592
3,1,7,0,3,26.035849,8173
3,1,7,0,4,28.503349,6861
3,1,7,0,5,28.738349,6904
3,1,7,0,6,27.524151,6685
3,1,7,0,0,25.918349,6597
3,1,7,0,1,26.349151,7105
3,1,7,0,2,25.526651,7216
3,1,9,0,6,27.406651,6140
3,1,9,0,0,24.743349,5810
3,1,9,1,1,25.2525,6034
3,1,9,0,2,26.114151,6864
3,1,9,0,3,26.623349,7112
3,1,9,0,4,24.743349,6203
3,1,9,0,5,25.056651,7504
3,1,9,0,6,22.980849,5976
3,1,9,0,0,20.67,8227
3,1,9,0,1,19.416651,7525
3,1,9,0,2,19.1425,7767
3,1,9,0,3,20.160849,7870
3,1,9,0,4,20.7875,7804
3,1,9,0,5,21.766651,8009
3,1,9,0,6,20.591651,8714
3,1,9,0,0,19.26,7333
3,1,9,0,1,19.299151,6869
3,1,9,0,2,21.296651,4073
3,1,9,0,3,17.9675,7591
3,1,9,0,4,17.693349,7720
3,1,9,0,5,20.160849,8167
3,1,9,0,6,22.55,8395
4,1,9,0,0,16.870849,7907
4,1,9,0,1,16.165849,7436
4,1,9,0,2,17.85,7538
4,1,9,0,3,21.845,7733
4,1,9,0,4,22.55,7393
4,1,9,0,5,21.100849,7415
4,1,9,0,6,17.4975,8555
4,1,9,0,0,16.753349,6889
4,1,11,0,4,9.194151,5986
4,1,11,0,5,8.685,5847
4,1,11,0,6,8.136651,5138
4,1,11,0,0,7.314151,5107
4,1,11,0,1,7.000849,5259
4,1,11,0,2,5.199151,5686
4,1,11,0,3,5.904151,5035
4,1,11,0,4,8.552178,5315
4,1,11,0,5,8.998349,5992
4,1,11,0,6,10.290849,6536
4,1,11,0,0,11.779151,6852
4,1,11,1,1,14.795,6269
4,1,11,0,2,8.136651,4094
4,1,11,0,3,5.590849,5495
4,1,11,0,4,7.118349,5445
4,1,11,0,5,8.215,5698
4,1,11,0,6,7.275,5629
4,1,11,0,0,8.0975,4669
4,1,11,0,1,9.899151,5499
4,1,11,0,2,9.585849,5634
4,1,11,0,3,8.606651,5146
4,1,11,1,4,7.98,2425
4,1,11,0,5,9.311651,3910
4,1,11,0,6,5.081651,2277
4,1,11,0,0,3.554151,2424
4,1,11,0,1,6.726651,5087
4,1,11,0,2,5.708349,3959
4,1,11,0,3,5.943349,5260
4,1,11,0,4,5.20089,5323
4,1,11,0,5,6.021651,5668
